blk_A,blk_B,blk_C,time1,time2,l1_dcm1,l1_dcm2,l2_dcm1,l2_dcm2
2,2,2,86852265,66030402,11060482346,4264278444,23967677136,11062093029
2,2,2,86449730,64922452,10986634756,4239569649,23894351680,10920932475
2,2,2,84405295,65404658,10999945912,4232633240,23906816421,10974648568
4,4,4,81556171,33533224,11034742898,1286217983,24439168699,1912307901
4,4,4,83846253,35089434,11040481878,1258375125,24289058137,1780610995
4,4,4,77836722,34498633,11021969534,1247088245,24315594627,1797947641
8,8,8,83787478,26163603,11044913117,3843516827,24262626880,3713821543
8,8,8,78244356,25691394,11065630528,3721341340,24031346604,3723509355
8,8,8,74685861,26628948,10858212206,3941379814,23976606512,3671786522
16,16,16,82230632,23216070,11007581503,9332566247,24231425019,2074517423
16,16,16,84079435,24149449,10898352200,9336496601,24319479762,2198921433
16,16,16,82071485,23572251,11061818751,9337018678,24404195842,2077994318
32,32,32,83882948,25125396,11033615482,8921441450,24318385734,3628950074
32,32,32,82879834,26357793,11093181497,8919768883,24321246910,3597785116
32,32,32,86221410,27921128,11062192659,8919749703,24011668605,3404199834
64,64,64,84472740,32836304,11085329845,8764782948,23884894778,10552300684
64,64,64,84297663,32707223,11130934885,8759955389,23926664999,10431952578
64,64,64,85642698,33410120,11001610873,8757699528,23957462374,10570987247
128,128,128,84857058,34762787,11090912895,8680852611,23904879838,21713164189
128,128,128,85327641,34059712,11098123655,8679948598,23907180330,21825999986
128,128,128,85248684,34967998,11096606113,8680305706,23999190934,21774581600